Index	X	Acquisition
685	14.7624778928775	33
686	14.7917944355145	40
687	14.8211132416083	36
688	14.8504343155861	41
689	14.8797576618752	45
690	14.9090832849028	37
691	14.9384111890961	30
692	14.9677413788823	35
693	14.9970738586886	42
694	15.0264086329424	35
695	15.0557457060708	33
696	15.085085082501	38
697	15.1144267666603	39
698	15.143770762976	38
699	15.1731170758751	34
700	15.202465709785	30
701	15.2318166691328	36
702	15.2611699583459	29
703	15.2905255818514	45
704	15.3198835440766	42
705	15.3492438494487	45
706	15.3786065023948	52
707	15.4079715073424	27
708	15.4373388687185	38
709	15.4667085909503	34
710	15.4960806784652	36
711	15.5254551356904	38
712	15.554831967053	40
713	15.5842111769804	31
714	15.6135927698996	37
715	15.6429767502381	38
716	15.6723631224229	38
717	15.7017518908813	42
718	15.7311430600406	43
719	15.7605366343279	45
720	15.7899326181705	42
721	15.8193310159957	41
722	15.8487318322306	33
723	15.8781350713024	48
724	15.9075407376385	47
725	15.936948835666	39
726	15.9663593698121	29
727	15.9957723445042	37
728	16.0251877641693	35
729	16.0546056332348	42
730	16.0840259561278	38
731	16.1134487372757	42
732	16.1428739811055	60
733	16.1723016920446	46
734	16.2017318745202	36
735	16.2311645329594	37
736	16.2605996717896	46
737	16.2900372954379	43
738	16.3194774083316	42
739	16.348920014898	36
740	16.3783651195641	49
741	16.4078127267573	36
742	16.4372628409048	45
743	16.4667154664338	46
744	16.4961706077716	37
745	16.5256282693453	38
746	16.5550884555822	37
747	16.5845511709096	50
748	16.6140164197545	35
749	16.6434842065444	45
750	16.6729545357064	42
751	16.7024274116676	55
752	16.7319028388555	47
753	16.7613808216971	36
754	16.7908613646198	38
755	16.8203444720506	49
756	16.849830148417	37
757	16.879318398146	51
758	16.908809225665	42
759	16.9383026354011	39
760	16.9677986317815	47
761	16.9972972192336	31
762	17.0267984021845	40
763	17.0563021850614	58
764	17.0858085722917	45
765	17.1153175683024	49
766	17.1448291775209	37
767	17.1743434043743	37
768	17.2038602532899	37
769	17.2333797286949	39
770	17.2629018350166	42
771	17.2924265766822	55
772	17.3219539581188	47
773	17.3514839837538	54
774	17.3810166580143	43
775	17.4105519853276	50
776	17.4400899701208	40
777	17.4696306168214	50
778	17.4991739298564	49
779	17.528719913653	51
780	17.5582685726386	40
781	17.5878199112403	44
782	17.6173739338854	53
783	17.6469306450011	40
784	17.6764900490146	41
785	17.7060521503531	53
786	17.7356169534439	49
787	17.7651844627142	46
788	17.7947546825913	53
789	17.8243276175022	44
790	17.8539032718744	49
791	17.883481650135	54
792	17.9130627567112	55
793	17.9426465960303	49
794	17.9722331725195	65
795	18.001822490606	49
796	18.031414554717	56
797	18.0610093692798	49
798	18.0906069387216	52
799	18.1202072674696	51
800	18.1498103599511	52
801	18.1794162205932	65
802	18.2090248538233	40
803	18.2386362640685	53
804	18.268250455756	47
805	18.2978674333132	41
806	18.3274872011671	45
807	18.3571097637451	59
808	18.3867351254744	40
809	18.4163632907821	54
810	18.4459942640956	48
811	18.475628049842	38
812	18.5052646524486	34
813	18.5349040763426	68
814	18.5645463259512	64
815	18.5941914057017	55
816	18.6238393200212	64
817	18.6534900733371	48
818	18.6831436700765	62
819	18.7128001146667	53
820	18.7424594115348	46
821	18.7721215651082	50
822	18.801786579814	55
823	18.8314544600795	60
824	18.8611252103319	53
825	18.8907988349985	54
826	18.9204753385063	48
827	18.9501547252828	58
828	18.979836999755	52
829	19.0095221663503	50
830	19.0392102294959	50
831	19.0689011936189	64
832	19.0985950631467	45
833	19.1282918425064	44
834	19.1579915361252	61
835	19.1876941484305	39
836	19.2173996838494	56
837	19.2471081468091	50
838	19.2768195417369	69
839	19.30653387306	62
840	19.3362511452056	57
841	19.365971362601	62
842	19.3956945296734	60
